dataset_index,sample_id,true_label,true_attack_type,predicted_label,predicted_attack_type,request_route,initial_status,final_status,source,attack_type,request_id,confidence,predicted_reasoning,latency_ms,submit_latency_ms,poll_count,completed,normalized_payloads,retrieval_trace_origin,retrieved_topk_count,retrieved_topk_categories,retrieved_topk_scores,retrieved_topk_payloads,retrieved_topk_source_files,retrieved_topk_line_nos,true_attack_type_in_topk,predicted_attack_type_in_topk,label_correct,attack_type_correct,error
725,kaggle-cmdi-029,malicious,Command Injection,malicious,Command Injection,immediate,200,200,rule_engine,Command Injection,,1.0,,79.25676999730058,79.19921999564394,0,True,"[""/lookup"",""python-requests/2.31"",""application/x-www-form-urlencoded"",""; ls -la #"",""1029""]",benchmark_sidecar_disabled,0,[],[],[],[],[],False,False,True,True,
311,xml_test-41581,malicious,SQLi,malicious,SQLI RCE XSS,queued,202,200,llm_batch,SQLi/RCE/XSS,50ad5cad00db1f6a35f6c621c7421181e18ec9ecdf43276becf2ef64641555ab,0.95,"Payload contains clear SQL injection patterns (' OR 'ic8' > 'S') and suspicious keywords like 'unionscript', 'vbscript', and 'exec' with semicolons, indicating potential SQLi, XSS, or RCE.",36172.24393499782,75.81825699890032,19,True,"[""/sXKLJtK89/FuHGJ/Te0n7a1wcesndst1/r14/s7atcaseb/sR3SHKW1/apadssrahe9u.mspx"",""77Euy3K"","";isbti=s"",""106989"",""8752"",""loaIwhere"",""'    OR  'ic8' >   'S"",""er5e(nacceptL|)izaphpy "",""crrOt5dQentsSRac"",""6481190"",""application/rtf;q=0.9"",""euc-cn;q=0.0, cp-936, x-mac-arabic;q=0.9, iso-8859-1, iso-10646-ucs-2;q=0.0"",""*"",""min-fresh=3"",""38.173.11.46"",""sessiriri=unionscriptA2nivbscriptbetween1eefebarsfo;exiahceTHt5=%d~;hzie1uE9s4=62;atMsitsxee=dg3tnullicala;qrnsernua8th= ss;7h=@"",""$Version=\""8\"""",""Fri, 05 May 06 04:55:13 GMT"",""W/\""W0@RJky9TsVAqhWET\"""",""100-continue"",""xwfji@6eera.be"",""Tue, 13 Jul 04 16:18:48 CET"",""Sat, 15 Apr 06 05:20:50 UTC"",""\""f-qYG_DDORq5mdaMr57\"""",""*"",""Mon, 03 Nov 08 17:00:35 CET"",""5"",""3.1"",""no-cache"",""NTLM b2xzb3NobDl0dG9mbWpvZTJmc2VmczJlZWhlZm10cWV0aHN1bGNvNmliZDg="",""NTLM aXNkRXRzNnJ5bm92aGlubm04dHRzY3RpTzJvdW5ucnQ4aWhm"",""57313-1061,-0,406-"",""/lnzz/peseiixl/acen.tiff"",""trailers,trailers,gzip"",""If-Range"",""Mozilla/0.1 (X11; U; Linux i586 5.7; xg-ri; rv:5.5.5) Gecko/41643269"",""StrongARM"",""989,4955,16"",""Solaris"",""color8"",""1852x515"",""5.4 143.4.250.146:20, FTP/8.3 www.nhte8it.htm:3"",""identity"",""eia/5.7"",""480 www.mfahnai.css \""oldac4\"" \""Mon, 15 Jun 09 01:00:23 UTC\"""",""166.15.230.232"",""124390233"",""----------------------------------------------"",""~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~""]",benchmark_sidecar_disabled,0,[],[],[],[],[],False,False,True,False,
542,xml_test-41539,malicious,SQLi,malicious,SQLi,immediate,200,200,rule_engine,SQLi,,1.0,,165.77371599851176,165.74689700792078,0,True,"[""/tt_0_hO/ew2ru7es/@qIybar5KRC/wXIwhere4/seval4includeNeOP_R67DO@.gif"",""odls"",""identity"",""/eoee.js"",""ZzVlb2NxaXV5c25yZHVhZQ=="",""application/x-www-form-urlencoded"",""Wed, 14 Jan 04 06:36:06 UTC"",""Tue, 12 Apr 05 06:59:27 UTC"",""video/mpeg, text/plain"",""*"",""tJS-icmdcgS;q=0.8, jeo-ddsebza, aelto-hdr;q=0.1, ui-9tkreT, o5hhw-axmdrb1k;q=0.5"",""min-fresh=854"",""163.65.132.10"",""pc8arhnCzxinia=noa5Zbm.kb;nercwi33eajfe=ohaving=aoelreeiframenczhome"",""$Version=\""56\"""",""Thu, 04 Dec 08 22:28:37 GMT"",""W/\""6-69Euuq1Ajx0PW8f\"""",""100-continue"",""ic6p0@srmghef.fr"",""Thu, 22 Nov 07 18:16:54 UTC"",""Fri, 06 Feb 09 14:21:04 CET"",""*"",""*"",""\""l33fBw0HiPnWn@zh\"""",""577"",""5.5"",""no-cache"",""Basic ZWx4WWVubTpUWWFpbWg="",""57094-3"",""/staeowaa.zip"",""trailers,chunked"",""If-Modified-Since"",""Mozilla/5.0 (Windows; U; Windows NT 2.0; et-o3; rv:2.8.5) Gecko/60402777"",""StrongARM"",""WinNT"",""color8"",""3289x1691"",""HTTP/4.1 193.19.103.148, hesB8e/5.7 46.113.215.20"",""identity"",""itaut/3.7, drtrlo/0.9"",""202 172.75.239.75:0 \""5HknetoSUn9esaen\"""",""tn catr9 xHz"",""439"",""mzLcvv"",""980004080"",""octadminn2iinserta"",""'; insert  into     roo values(666,'uasnen7h','wA',0xfffff)""]",benchmark_sidecar_disabled,0,[],[],[],[],[],False,False,True,True,
447,xml_test-41619,malicious,SQLi,malicious,Command Injection,immediate,200,200,rule_engine,Command Injection,,1.0,,106.19873699033633,106.1589969904162,0,True,"[""/AItm67/sBiL/OinputJn./KlLrD6@0Im3node/soeGpetwemohq/lifi/pheb2oeeelcg/dX9UtCKIFu06TpC-.VL/cbt2LFHVRwI6eR/s_KL-yAB3VuB1/qXcatXtD.2betweenK7homemS/ilets.cgi"",""moe4kadbihEnrehavm"",""z1oRileeLlyll"",""4142448"",""&nrtl?|rrilcl"",""'UNIONALLSELECTfieldFROManilWHERE''   =    '"",""6"",""ok65o"",""743"",""sdtqo56aalostReo"",""application/rtf;q=0.3, application/zip, video/mpeg;q=0.4"",""*"",""s-a8k;q=0.9, nnodo-e;q=0.8"",""max-stale=1869"",""224.247.255.87"",""malee=fprl;fHaMopmhSe= iascate tbetweenti;e+;yeosh=471;iosasEyRawtte=Rgroup by;7centmlpintaNS=ySc(l"",""$Version=\""003\"""",""Tue, 15 Aug 06 06:48:39 CET"",""\""vz5WQdacqFuv82n8\"""",""lrfohe"",""tcssd@oays6you.com"",""Mon, 17 Aug 09 22:58:18 CET"",""Fri, 22 Oct 04 16:07:36 UTC"",""*"",""\""uD5.dA5.g8fBDDRS\"""",""Tue, 25 Apr 06 05:14:02 GMT"",""15"",""3.1"",""no-cache"",""akeo5s nryIh=hnabaoI"",""ephb c0so=ueyyJta"",""537-"",""/isnetn/ecaonrr/9phe/cyeulr.php3"",""trailers,chunked;q=0.5"",""Via"",""wrtheecul (dWKXi8um3V; hTkEBRwj.; s8l7sJ)"",""MIPS"",""5571,966,8"",""Solaris"",""color8"",""0620x1367"",""HTTP/7.8 www.eiuCro.css, HTTP/8.5 www.2iertm.jpeg, 6.4 158.50.218.211"",""compress"",""bxnsG/8.0, e7cm/6.6"",""971 www.l4ihl.css \""jglskraM3styhIle\"" \""Mon, 26 Jan 09 22:24:50 GMT\"""",""166.15.230.232"",""124390233"",""-------------------"",""~~~~~~~~~~~~~~~~~~""]",benchmark_sidecar_disabled,0,[],[],[],[],[],False,False,True,False,
627,xml_test-35982,malicious,Path Traversal,malicious,Path Traversal,queued,202,200,llm_batch,Path Traversal,c03c45b6cd665a61f6ee1b40c74f0b4da5fe8509d8dbd8d72ef085bc917c1245,0.9,Payload contains a clear path traversal sequence ('../../../WINNT/autoexec.bat') attempting to access sensitive system files.,36188.18081599602,76.17011899128556,19,True,"[""/ngi/fzcQAGSuf4qDIhJ/FSuetenysT/esnlh7heKn/KpcK/u4LEcb@df1OHxeD1rXe/Sie45Reautr/qWxservicesSRv4EX/njSn.mdb"",""text/plain;q=0.2"",""*;q=0.2"",""v-im"",""r='aeY2m'"",""3g2aeeaaqwl=s;tlhahuled=../../../WINNT/autoexec.bat"",""\""kEI@Bmr3rwc4OnVXZNT\"""",""Sun, 29 Apr 07 14:01:02 GMT"",""*"",""no-cache"",""/ea5cwe/hndaj/88aelTm1.cfm"",""deflate;q=0.7,trailers"",""naisc8shyoaSnm"",""052x3579"",""1.9 144.141.42.244:37742, 6.4 227.195.181.136:9""]",benchmark_sidecar_disabled,0,[],[],[],[],[],False,False,True,True,
493,xml_test-37723,malicious,LDAP Injection,malicious,RCE,queued,202,200,llm_batch,RCE,980efa28f3c994d7719bd22678f7cd9611b54edd51e1501133616e6ec0deb079,0.8,Payload contains a partial command injection attempt ('snetcatw') which is a common probe for remote code execution using netcat.,36183.83059099142,75.50376000290271,19,True,"[""/rjY2A8.-cr1y3ZX/fsrtmE8tnebutmaoaz/m99WKTF/jBu-7U5L1G5rqk5/xtPE@c-Qhtb/eMWo0d_IdrzivCH6mMFK.jpg"",""dGl4ty,dxzOpms6"",""compress"",""application/x-www-form-urlencoded"",""Mon, 09 Apr 07 01:01:44 GMT"",""audio/basic, audio/x-wav"",""iso-8859-7"",""3qpEOy-ahit;q=0.8, n-aycmhtNn;q=0.6, e-ii, dAvsdwWo-tmxnaohE, deicGynr-ur"",""m1IT='iesrf'"",""$Version=\""851\"""",""Sun, 12 Jul 09 10:35:52 CET"",""8mpesG7"",""Wed, 08 Dec 04 01:45:10 UTC"",""Fri, 03 Jun 05 17:23:58 UTC"",""*"",""\""eS7uwhXzfnEMKQxMV8m\"""",""520"",""Basic cnJpYjpuTTJnc0Jv"",""/neFifm/tefTa/npni/9ok6sv/iidirst.mdb"",""trailers,trailers"",""szcBd- http://www.awSMeczh.ch"",""FTP/5.1 137.160.212.178, FTP/2.2 www.a6taei3d.jpg"",""hEjcm; MeyrA=8sno"",""lnd/9.2, toL/2.4"",""------------------------------------------------"",""8wW"",""'snetcatw"",""5h)("",""   t6o*)"",""pCzk3q""]",benchmark_sidecar_disabled,0,[],[],[],[],[],False,False,True,False,
293,xml_test-45333,malicious,Path Traversal,malicious,Path Traversal,immediate,200,200,rule_engine,Path Traversal,,1.0,,92.70142299646977,92.6663629943505,0,True,"[""/f.MupsggYR-Uboot.iniO/eZCN.Ncz_xHhv8w/Ozn/q.o4b8pBFw.jkMw/ieGDfqnSFAGLo./bz1nfLY3/pzcI.catGinputXxtmfAu/94YcZK4G0/mmdiysaw/ntz/celrylasuEa/omeey1eo1htfryxtania.shtml"",""8nwinnt\\ns?oeu9&h0c"",""fya0ltnaranjad"",""2649"",""098"",""ktor"",""uq--wggVX"",""image/png"",""iso-10646-ucs-2;q=0.4"",""prsirs-xnhdsrf;q=0.9, d7-es"",""yaObhvwre=97048;o7REYVgdM=hDeq0an% ;i2jecobdoeoni=..\\..\\..\\..\\..\\..\\..\\..\\..\\WINNT\\system.ini"",""Thu, 07 Jan 10 03:50:55 UTC"",""Mon, 12 Jan 09 04:38:37 CET"",""*"",""\""58IOQD4kk_958gi\"""",""Tue, 22 Nov 05 10:14:37 CET"",""3"",""hewme='m'"",""73-4"",""/hnnat/sbaa/r03s0alf/xiTeaC/laef.swf"",""trailers"",""b6bm8zBM http://www.xh6h.de"",""467x156"",""FTP/3.8 www.bet4m.css:2165, HTTP/5.9 251.100.179.9:02874"",""compress"",""348 87.159.133.61 \""lDlehaLsex1Cijqulr\""""]",benchmark_sidecar_disabled,0,[],[],[],[],[],False,False,True,True,
629,patt-ldap-injection-0078,malicious,LDAP Injection,malicious,Command Injection,immediate,200,200,rule_engine,Command Injection,,1.0,,136.74006299697794,136.71254500513896,0,True,"[""/view"",""Mozilla/5.0"",""application/x-www-form-urlencoded"",""admin*)((|userpassword=*)"",""1078""]",benchmark_sidecar_disabled,0,[],[],[],[],[],False,False,True,False,
403,patt-xpath-injection-0463,malicious,XPath Injection,malicious,XPath Injection,queued,202,200,llm_batch,XPath Injection,2baee0bd249982c85c6ead304a3e16721556a9357777fc11febb12ff2f619c2d,0.9,"Payload contains XPath injection syntax ('substring(//user[userid=5]/username,2,1)') used for blind data extraction.",36209.45576300437,87.43634200072847,19,True,"[""/profile"",""Mozilla/5.0"",""application/x-www-form-urlencoded"",""substring(//user[userid=5]/username,2,1)=CHAR_HERE"",""1463""]",benchmark_sidecar_disabled,0,[],[],[],[],[],False,False,True,True,
767,xml_test-46606,malicious,XSS,malicious,RCE,queued,202,200,llm_batch,RCE,2c34ef1f077dbdee39b781dbdadff93a1423265d9df824688b93cf6952aa8edf,0.9,Payload contains 'exec=' and semicolons (';') which are strong indicators of a remote command execution attempt.,36232.66225200496,140.0121430051513,19,True,"[""/eheusns/4OmnfsngadueEju3dR/70dxO-J1O8maF/exiviHqC_B7Inh/r1x/mxnG0n7/sroaUi5asoi/50lhZyWtZKP/gZqT/eX2DGBVqL@l4tQ.aspx"",""98232"",""image/*;q=0.6, text/*, audio/x-wav;q=0.1"",""*"",""*"",""no-cache"",""151.185.246.142"",""rcmdOeselpqe6ib=ehttahnafc;hYt5rcpMm7exec=fQh;izte9=1714;5hneaaesrmz4iut=2ohuhlm0gswoimAe"",""$Version=\""6\"""",""Sat, 03 Jul 04 05:08:28 UTC"",""W/\""i1SzQL9_A_G6IGY\"""",""100-continue"",""cmafia1u@4a9he51St.com"",""Wed, 19 Nov 08 22:58:06 CET"",""Fri, 06 Jan 06 04:55:35 GMT"",""\""teX1@Y8Tg6wL0tZ\"""",""*"",""*"",""3726"",""0.9"",""a=Tsi"",""sifg csiik=w7hiha"",""9iru rinrtild=ef2cniut"",""29-,197659-,4-7273"",""http://s45Kep.st/ymdi36y/vuura9p/eaekme/fbhrs8/manid.tiff"",""deflate;q=0.6"",""Mozilla/4.3 (Machintosh; U; PPC 1.1; Eh-i4; rv:9.1.6) Gecko/61114810"",""x86"",""Windows 98"",""color32"",""8.5 64.150.85.215"",""deflate"",""1ssnt/2.7, Necil/0.4"",""1492216071266742097"",""~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~""]",benchmark_sidecar_disabled,0,[],[],[],[],[],False,False,True,False,
